bea_code,panel_year,den_m_2024,num_m_2024
6210,2022,16123.215872620198,0
6210,2023,19047.335456349796,0
6210,2024,18301,0
622H,2015,32850.548368280484,0
622H,2016,34689.54820412008,0
622H,2017,34458.44236,0
622H,2018,35612.27985450807,0
622H,2019,35657.648796800335,0
622H,2020,35843.998540036686,0
622H,2021,33429.62670361415,0
622H,2022,33988.23431901038,0
622H,2023,36666.17063127648,0
622H,2024,38583,0
6230,2015,4938.885314012628,0
6230,2016,5002.146516771102,0
6230,2017,5715.23614,0
6230,2018,4969.929369205527,0
6230,2019,5240.196369025565,0
6230,2020,6978.700707520683,0
6230,2021,7876.1986289584975,0
6230,2022,4645.156622939582,0
6230,2023,4255.574162395948,0
6230,2024,4669,0
6240,2015,3571.490887135563,0
6240,2016,3267.1864070115084,0
6240,2017,3122.29964,0
6240,2018,2371.134263743649,0
6240,2019,8047.764338168933,0
6240,2020,3360.768801707034,0
6240,2021,3301.9776503934727,0
6240,2022,3187.708565730845,0
6240,2023,3673.0014219273044,0
6240,2024,3827,0
711A,2015,6686.724158045008,0
711A,2016,7876.277573002417,0
711A,2017,7438.0235600000005,0
711A,2018,8033.36560776484,0
711A,2019,8022.171193509467,0
711A,2020,7698.505278328904,0
711A,2021,7706.647504686353,0
711A,2022,7480.30755928084,0
711A,2023,8296.67377136594,0
711A,2024,8233,0
7130,2015,9644.817343607692,68.92109006436824
7130,2016,17632.325121841342,896.4420280951796
7130,2017,17951.20246,87.5537
7130,2018,20082.08266946053,579.1372289323344
7130,2019,19672.17064249817,907.2769781780528
7130,2020,14234.73417437203,1046.3008647475012
7130,2021,10508.510328090051,0
7130,2022,14593.367587947527,0
7130,2023,16476.633483425663,59.853363746778456
7130,2024,15946,915
7210,2015,24404.9579917928,0
7210,2016,23848.116230495147,0
7210,2017,17458.20778,0
7210,2018,18653.544171427442,0
7210,2019,18021.412811962648,0
7210,2020,9223.83545464755,0
7210,2021,7418.776531101995,0
7210,2022,6433.127457701056,0
7210,2023,7881.690449388276,0
7210,2024,7390,0
7220,2015,7235.336034957379,0
7220,2016,9009.931953147398,0
7220,2017,10619.590320000001,0
7220,2018,9286.165912190878,0
7220,2019,11818.914203741178,0
7220,2020,10131.46993972972,0
7220,2021,8472.677044563377,0
7220,2022,10964.961985479698,0
7220,2023,13176.718028853276,0
7220,2024,12675,0
8100,2015,12517.448377490562,0
8100,2016,16464.192202154238,0
8100,2017,13648.94834,0
8100,2018,13060.543024887817,0
8100,2019,14328.322037601773,0
8100,2020,11684.533391981433,0
8100,2021,12800.499986416366,0
8100,2022,10216.826301685725,0
8100,2023,12304.854030275204,0
8100,2024,12880,0
