"year","lower","central","upper"
182.55,0.126910378758726,0.19524315329135,0.263575927823975
182.6,0.126910379925329,0.195243155086091,0.263575930246854
182.65,0.126910381094237,0.195243156884379,0.263575932674521
182.7,0.126910382265447,0.195243158686207,0.263575935106967
182.75,0.126910383438951,0.195243160491565,0.263575937544179
182.8,0.126910384614747,0.195243162300449,0.26357593998615
182.85,0.126910385792829,0.195243164112849,0.263575942432869
182.9,0.126910386973193,0.19524316592876,0.263575944884327
182.95,0.126910388155831,0.19524316774817,0.26357594734051
183,0.126910389340741,0.195243169571074,0.263575949801408
183.05,0.126910390527915,0.195243171397463,0.263575952267011
183.1,0.126910391717349,0.195243173227328,0.263575954737307
183.15,0.126910392909037,0.195243175060661,0.263575957212285
183.2,0.126910394102974,0.195243176897452,0.263575959691931
183.25,0.126910395299152,0.195243178737694,0.263575962176235
183.3,0.126910396497567,0.195243180581375,0.263575964665183
183.35,0.126910397698212,0.195243182428487,0.263575967158762
183.4,0.126910398901081,0.195243184279021,0.263575969656961
183.45,0.126910400106168,0.195243186132966,0.263575972159764
183.5,0.126910401313465,0.195243187990312,0.263575974667159
183.55,0.126910402522966,0.195243189851048,0.263575977179131
183.6,0.126910403734664,0.195243191715166,0.263575979695667
183.65,0.126910404948553,0.195243193582653,0.263575982216753
183.7,0.126910406164625,0.195243195453499,0.263575984742372
183.75,0.126910407382874,0.195243197327693,0.263575987272512
183.8,0.12691040860329,0.195243199205222,0.263575989807154
183.85,0.126910409825868,0.195243201086077,0.263575992346286
183.9,0.1269104110506,0.195243202970245,0.26357599488989
183.95,0.126910412277477,0.195243204857713,0.26357599743795
184,0.126910413506491,0.19524320674847,0.263575999990449
184.05,0.126910414737636,0.195243208642504,0.263576002547372
184.1,0.126910415970902,0.195243210539801,0.263576005108701
184.15,0.126910417206281,0.195243212440349,0.263576007674418
184.2,0.126910418443764,0.195243214344135,0.263576010244506
184.25,0.126910419683343,0.195243216251144,0.263576012818946
184.3,0.126910420925009,0.195243218161365,0.263576015397721
184.35,0.126910422168753,0.195243220074783,0.263576017980812
184.4,0.126910423414566,0.195243221991383,0.263576020568199
184.45,0.126910424662438,0.19524322391115,0.263576023159862
184.5,0.12691042591236,0.195243225834072,0.263576025755784
184.55,0.126910427164323,0.195243227760133,0.263576028355943
184.6,0.126910428418316,0.195243229689318,0.26357603096032
184.65,0.12691042967433,0.195243231621612,0.263576033568893
184.7,0.126910430932355,0.195243233556998,0.263576036181642
184.75,0.126910432192379,0.195243235495463,0.263576038798546
184.8,0.126910433454394,0.195243237436987,0.263576041419581
184.85,0.126910434718387,0.195243239381558,0.263576044044728
184.9,0.12691043598435,0.195243241329156,0.263576046673962
184.95,0.126910437252269,0.195243243279765,0.263576049307262
185,0.126910438522135,0.195243245233369,0.263576051944604
185.05,0.126910439793936,0.19524324718995,0.263576054585965
185.1,0.12691044106766,0.19524324914949,0.263576057231321
185.15,0.126910442343297,0.195243251111972,0.263576059880647
185.2,0.126910443620833,0.195243253077377,0.263576062533921
185.25,0.126910444900258,0.195243255045686,0.263576065191114
185.3,0.126910446181558,0.195243257016881,0.263576067852204
185.35,0.126910447464722,0.195243258990943,0.263576070517165
185.4,0.126910448749737,0.195243260967853,0.263576073185969
185.45,0.12691045003659,0.19524326294759,0.263576075858591
185.5,0.126910451325268,0.195243264930136,0.263576078535004
185.55,0.126910452615759,0.19524326691547,0.263576081215181
185.6,0.126910453908048,0.195243268903571,0.263576083899094
185.65,0.126910455202123,0.195243270894418,0.263576086586714
185.7,0.126910456497969,0.195243272887992,0.263576089278014
185.75,0.126910457795574,0.195243274884269,0.263576091972965
185.8,0.126910459094921,0.195243276883229,0.263576094671536
185.85,0.126910460395998,0.195243278884849,0.2635760973737
185.9,0.126910461698791,0.195243280889108,0.263576100079426
185.95,0.126910463003282,0.195243282895982,0.263576102788682
186,0.12691046430946,0.195243284905449,0.263576105501439
186.05,0.126910465617308,0.195243286917486,0.263576108217665
186.1,0.126910466926811,0.195243288932069,0.263576110937327
186.15,0.126910468237953,0.195243290949174,0.263576113660394
186.2,0.126910469550719,0.195243292968776,0.263576116386834
186.25,0.126910470865093,0.195243294990852,0.263576119116612
186.3,0.126910472181057,0.195243297015377,0.263576121849696
186.35,0.126910473498598,0.195243299042325,0.263576124586052
186.4,0.126910474817697,0.195243301071671,0.263576127325646
186.45,0.126910476138339,0.19524330310339,0.263576130068441
186.5,0.126910477460504,0.195243305137454,0.263576132814403
186.55,0.126910478784178,0.195243307173838,0.263576135563497
186.6,0.126910480109342,0.195243309212514,0.263576138315685
186.65,0.126910481435978,0.195243311253455,0.263576141070932
186.7,0.126910482764069,0.195243313296634,0.2635761438292
186.75,0.126910484093597,0.195243315342024,0.263576146590451
186.8,0.126910485424542,0.195243317389594,0.263576149354646
186.85,0.126910486756887,0.195243319439318,0.263576152121749
186.9,0.126910488090613,0.195243321491166,0.26357615489172
186.95,0.1269104894257,0.195243323545108,0.263576157664517
187,0.126910490762129,0.195243325601117,0.263576160440104
187.05,0.126910492099881,0.195243327659159,0.263576163218436
187.1,0.126910493438937,0.195243329719206,0.263576165999476
187.15,0.126910494779275,0.195243331781227,0.263576168783179
187.2,0.126910496120876,0.19524333384519,0.263576171569505
187.25,0.126910497463719,0.195243335911065,0.263576174358411
187.3,0.126910498807783,0.195243337978818,0.263576177149853
187.35,0.126910500153047,0.195243340048418,0.263576179943788
187.4,0.126910501499492,0.195243342119832,0.263576182740173
187.45,0.126910502847092,0.195243344193026,0.26357618553896
187.5,0.12691050419583,0.195243346267969,0.263576188340108
187.55,0.12691050554568,0.195243348344623,0.263576191143567
187.6,0.126910506896622,0.195243350422958,0.263576193949293
187.65,0.126910508248633,0.195243352502937,0.26357619675724
187.7,0.12691050960169,0.195243354584525,0.263576199567359
187.75,0.12691051095577,0.195243356667686,0.263576202379602
187.8,0.12691051231085,0.195243358752386,0.263576205193922
187.85,0.126910513666906,0.195243360838587,0.263576208010269
187.9,0.126910515023914,0.195243362926253,0.263576210828593
187.95,0.126910516381849,0.195243365015346,0.263576213648844
188,0.126910517740688,0.19524336710583,0.263576216470972
188.05,0.126910519100406,0.195243369197665,0.263576219294925
188.1,0.126910520460978,0.195243371290814,0.26357622212065
188.15,0.126910521822378,0.195243373385237,0.263576224948097
188.2,0.126910523184581,0.195243375480896,0.263576227777211
188.25,0.126910524547561,0.19524337757775,0.263576230607939
188.3,0.126910525911292,0.19524337967576,0.263576233440227
188.35,0.126910527275748,0.195243381774883,0.263576236274019
188.4,0.126910528640902,0.195243383875082,0.263576239109261
188.45,0.126910530006726,0.195243385976311,0.263576241945896
188.5,0.126910531373194,0.195243388078531,0.263576244783868
188.55,0.126910532740278,0.195243390181698,0.263576247623118
188.6,0.12691053410795,0.19524339228577,0.26357625046359
188.65,0.126910535476182,0.195243394390704,0.263576253305226
188.7,0.126910536844945,0.195243396496455,0.263576256147965
188.75,0.12691053821421,0.195243398602979,0.263576258991747
188.8,0.12691053958395,0.195243400710232,0.263576261836513
188.85,0.126910540954134,0.195243402818168,0.263576264682201
188.9,0.126910542324731,0.195243404926741,0.26357626752875
188.95,0.126910543695714,0.195243407035906,0.263576270376099
189,0.12691054506705,0.195243409145616,0.263576273224181
189.05,0.126910546438711,0.195243411255823,0.263576276072936
189.1,0.126910547810663,0.19524341336648,0.263576278922298
189.15,0.126910549182877,0.19524341547754,0.263576281772203
189.2,0.12691055055532,0.195243417588952,0.263576284622584
189.25,0.126910551927961,0.195243419700669,0.263576287473377
189.3,0.126910553300767,0.19524342181264,0.263576290324513
189.35,0.126910554673706,0.195243423924815,0.263576293175924
189.4,0.126910556046746,0.195243426037144,0.263576296027543
189.45,0.126910557419851,0.195243428149576,0.263576298879301
189.5,0.126910558792991,0.195243430262059,0.263576301731128
189.55,0.126910560166129,0.195243432374541,0.263576304582954
189.6,0.126910561539233,0.195243434486969,0.263576307434706
189.65,0.126910562912267,0.195243436599291,0.263576310286315
189.7,0.126910564285196,0.195243438711451,0.263576313137706
189.75,0.126910565657986,0.195243440823397,0.263576315988807
189.8,0.126910567030601,0.195243442935073,0.263576318839546
189.85,0.126910568403004,0.195243445046424,0.263576321689844
189.9,0.12691056977516,0.195243447157395,0.263576324539629
189.95,0.126910571147033,0.195243449267929,0.263576327388825
190,0.126910572518584,0.195243451377968,0.263576330237353
190.05,0.126910573889776,0.195243453487457,0.263576333085138
190.1,0.126910575260573,0.195243455596336,0.2635763359321
190.15,0.126910576630936,0.195243457704548,0.26357633877816
190.2,0.126910578000826,0.195243459812032,0.263576341623239
190.25,0.126910579370205,0.195243461918731,0.263576344467257
190.3,0.126910580739033,0.195243464024582,0.263576347310131
190.35,0.126910582107272,0.195243466129527,0.263576350151781
190.4,0.126910583474882,0.195243468233503,0.263576352992124
190.45,0.126910584841822,0.195243470336448,0.263576355831075
190.5,0.126910586208051,0.195243472438301,0.263576358668552
190.55,0.126910587573529,0.195243474538997,0.263576361504466
190.6,0.126910588938215,0.195243476638476,0.263576364338737
190.65,0.126910590302066,0.19524347873667,0.263576367171275
190.7,0.126910591665041,0.195243480833516,0.263576370001991
190.75,0.126910593027098,0.195243482928949,0.263576372830801
190.8,0.126910594388192,0.195243485022903,0.263576375657614
190.85,0.126910595748282,0.195243487115311,0.263576378482339
190.9,0.126910597107325,0.195243489206107,0.263576381304889
190.95,0.126910598465274,0.195243491295222,0.263576384125169
191,0.126910599822087,0.195243493382588,0.263576386943089
191.05,0.126910601177719,0.195243495468137,0.263576389758554
191.1,0.126910602532124,0.195243497551799,0.263576392571474
191.15,0.126910603885257,0.195243499633504,0.26357639538175
191.2,0.126910605237072,0.195243501713181,0.26357639818929
191.25,0.126910606587523,0.195243503790759,0.263576400993996
191.3,0.126910607936562,0.195243505866166,0.26357640379577
191.35,0.126910609284143,0.19524350793933,0.263576406594516
191.4,0.126910610630218,0.195243510010176,0.263576409390135
191.45,0.126910611974739,0.195243512078631,0.263576412182524
191.5,0.126910613317657,0.195243514144621,0.263576414971586
191.55,0.126910614658924,0.195243516208071,0.263576417757219
191.6,0.126910615998489,0.195243518268904,0.263576420539318
191.65,0.126910617336306,0.195243520327045,0.263576423317784
191.7,0.126910618672321,0.195243522382415,0.263576426092509
191.75,0.126910620006485,0.195243524434937,0.263576428863389
191.8,0.126910621338746,0.195243526484532,0.263576431630319
191.85,0.126910622669054,0.195243528531122,0.26357643439319
191.9,0.126910623997356,0.195243530574626,0.263576437151896
191.95,0.1269106253236,0.195243532614964,0.263576439906328
192,0.126910626647734,0.195243534652056,0.263576442656378
192.05,0.126910627969703,0.195243536685817,0.263576445401931
192.1,0.126910629289454,0.195243538716166,0.263576448142878
192.15,0.126910630606933,0.195243540743019,0.263576450879106
192.2,0.126910631922085,0.195243542766294,0.263576453610503
192.25,0.126910633234856,0.195243544785904,0.263576456336953
192.3,0.12691063454519,0.195243546801765,0.263576459058341
192.35,0.12691063585303,0.19524354881379,0.26357646177455
192.4,0.12691063715832,0.195243550821892,0.263576464485464
192.45,0.126910638461003,0.195243552825982,0.263576467190962
192.5,0.126910639761021,0.195243554825974,0.263576469890927
192.55,0.126910641058318,0.195243556821779,0.263576472585239
192.6,0.126910642352834,0.195243558813305,0.263576475273776
192.65,0.12691064364451,0.195243560800462,0.263576477956415
192.7,0.126910644933287,0.19524356278316,0.263576480633033
192.75,0.126910646219104,0.195243564761304,0.263576483303504
192.8,0.126910647501904,0.195243566734806,0.263576485967707
192.85,0.126910648781622,0.195243568703566,0.26357648862551
